Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Error [mN] 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.450000e+01, 8.292135e-01, 1.509829e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.475000e+01, 8.256983e-01, 1.501154e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 025, 8.359453e-01, 1.506021e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.525000e+01, 8.430609e-01, 1.509570e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.550000e+01, 8.362165e-01, 1.503715e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.575000e+01, 8.312373e-01, 1.504429e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 026, 8.444223e-01, 1.500434e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.625000e+01, 8.450025e-01, 1.502034e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.650000e+01, 8.405890e-01, 1.493796e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.675000e+01, 8.650553e-01, 1.498392e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 027, 8.476785e-01, 1.492485e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.725000e+01, 8.474166e-01, 1.492007e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.750000e+01, 8.522320e-01, 1.490262e-01 
Acrylic, 010, 26.22, Descending, 000, 3.291904e-01, 1.506749e-01 
Acrylic, 010, 26.22, Descending, 2.500000e-01, 3.694850e-01, 1.491197e-01 
Acrylic, 010, 26.22, Descending, 5.000000e-01, 3.806437e-01, 1.499147e-01 
Acrylic, 010, 26.22, Descending, 7.500000e-01, 4.040509e-01, 1.485878e-01 
Acrylic, 010, 26.22, Descending, 001, 3.734466e-01, 1.487584e-01 
Acrylic, 010, 26.22, Descending, 1.250000e+00, 3.733383e-01, 1.477191e-01 
Acrylic, 010, 26.22, Descending, 1.500000e+00, 3.761768e-01, 1.483619e-01 
Acrylic, 010, 26.22, Descending, 1.750000e+00, 4.037349e-01, 1.480646e-01 
Acrylic, 010, 26.22, Descending, 002, 4.185591e-01, 1.483250e-01 
Acrylic, 010, 26.22, Descending, 2.250000e+00, 4.331720e-01, 1.490732e-01 
Acrylic, 010, 26.22, Descending, 2.500000e+00, 4.461371e-01, 1.490193e-01 
Acrylic, 010, 26.22, Descending, 2.750000e+00, 4.639761e-01, 1.484986e-01 
Acrylic, 010, 26.22, Descending, 003, 4.929929e-01, 1.490904e-01 
Acrylic, 010, 26.22, Descending, 3.250000e+00, 5.233821e-01, 1.483296e-01 
Acrylic, 010, 26.22, Descending, 3.500000e+00, 5.439255e-01, 1.479260e-01 
Acrylic, 010, 26.22, Descending, 3.750000e+00, 5.983901e-01, 1.481572e-01 
Acrylic, 010, 26.22, Descending, 004, 6.580864e-01, 1.474264e-01 
Acrylic, 010, 26.22, Descending, 4.250000e+00, 7.084788e-01, 1.473680e-01 
Acrylic, 010, 26.22, Descending, 4.500000e+00, 7.976622e-01, 1.475037e-01 
Acrylic, 010, 26.22, Descending, 4.750000e+00, 8.591754e-01, 1.475996e-01 
Acrylic, 010, 26.22, Descending, 005, 9.498746e-01, 1.479227e-01 
Acrylic, 010, 26.22, Descending, 5.250000e+00, 1.028836e+00, 1.472656e-01 
Acrylic, 010, 26.22, Descending, 5.500000e+00, 1.086774e+00, 1.475774e-01 
Acrylic, 010, 26.22, Descending, 5.750000e+00, 1.200397e+00, 1.478756e-01 
Acrylic, 010, 26.22, Descending, 006, 1.285496e+00, 1.477083e-01 
Acrylic, 010, 26.22, Descending, 6.250000e+00, 1.357315e+00, 1.477786e-01 
Acrylic, 010, 26.22, Descending, 6.500000e+00, 1.447740e+00, 1.484373e-01 
Acrylic, 010, 26.22, Descending, 6.750000e+00, 1.532067e+00, 1.487594e-01 
Acrylic, 010, 26.22, Descending, 007, 1.643826e+00, 1.483571e-01 
Acrylic, 010, 26.22, Descending, 7.250000e+00, 1.752612e+00, 1.478335e-01 
Acrylic, 010, 26.22, Descending, 7.500000e+00, 1.833106e+00, 1.482677e-01 
Acrylic, 010, 26.22, Descending, 7.750000e+00, 1.951584e+00, 1.491173e-01 
Acrylic, 010, 26.22, Descending, 008, 2.054094e+00, 1.506782e-01 
Acrylic, 010, 26.22, Descending, 8.250000e+00, 2.149016e+00, 1.497387e-01 
Acrylic, 010, 26.22, Descending, 8.500000e+00, 2.291581e+00, 1.518308e-01 
Acrylic, 010, 26.22, Descending, 8.750000e+00, 2.407592e+00, 1.503116e-01 
Acrylic, 010, 26.22, Descending, 009, 2.534916e+00, 1.535306e-01 
Acrylic, 010, 26.22, Descending, 9.250000e+00, 2.638184e+00, 1.498594e-01 
Acrylic, 010, 26.22, Descending, 9.500000e+00, 2.764763e+00, 1.483695e-01 
Acrylic, 010, 26.22, Descending, 9.750000e+00, 2.865274e+00, 1.490212e-01 
Acrylic, 010, 26.22, Descending, 010, 2.977964e+00, 1.507291e-01 
Acrylic, 010, 26.22, Descending, 1.025000e+01, 2.994032e+00, 1.475944e-01 
Acrylic, 010, 26.22, Descending, 1.050000e+01, 2.842029e+00, 1.636054e-01 
Acrylic, 010, 26.22, Descending, 1.075000e+01, 2.322902e+00, 1.510383e-01 
Acrylic, 010, 26.22, Descending, 011, 2.195954e+00, 1.496996e-01 
Acrylic, 010, 26.22, Descending, 1.125000e+01, 2.115259e+00, 1.503128e-01 
Acrylic, 010, 26.22, Descending, 1.150000e+01, 2.071586e+00, 1.500545e-01 
Acrylic, 010, 26.22, Descending, 1.175000e+01, 1.989568e+00, 1.507075e-01 
Acrylic, 010, 26.22, Descending, 012, 1.921818e+00, 1.499887e-01 
Acrylic, 010, 26.22, Descending, 1.225000e+01, 1.841340e+00, 1.499697e-01 
Acrylic, 010, 26.22, Descending, 1.250000e+01, 1.802064e+00, 1.501254e-01 
Acrylic, 010, 26.22, Descending, 1.275000e+01, 1.750796e+00, 1.498563e-01 
Acrylic, 010, 26.22, Descending, 013, 1.698263e+00, 1.494320e-01 
Acrylic, 010, 26.22, Descending, 1.325000e+01, 1.639485e+00, 1.498157e-01 
Acrylic, 010, 26.22, Descending, 1.350000e+01, 1.608675e+00, 1.514901e-01 
