Mode, Direction, D [mm], U [cm/s], h/d, Cd, Delta h [mm]
Simulation, --, 12.7, 26.22, 6.250000e-01, 5.040020e-01, --
Simulation, --, 12.7, 26.22, 7.500000e-01, 6.643490e-01, --
Simulation, --, 12.7, 26.22, 8.750000e-01, 8.775190e-01, --
Simulation, --, 12.7, 26.22, 001, 8.970740e-01, --
Simulation, --, 12.7, 26.22, 1.125000e+00, 5.686320e-01, --
Simulation, --, 12.7, 26.22, 1.250000e+00, 5.068170e-01, --
Simulation, --, 12.7, 26.22, 1.500000e+00, 3.956440e-01, --
Simulation, --, 12.7, 26.22, 2.500000e+00, 3.726130e-01, --
Experiment, --, 12.7, 26.22, 9.448619e-02, --, -1.107122e+00
Experiment, --, 12.7, 26.22, 1.195150e-01, --, -6.134016e-01
Experiment, --, 12.7, 26.22, 1.368482e-01, --, -1.096190e+00
Experiment, --, 12.7, 26.22, 1.601892e-01, --, -8.647098e-01
Experiment, --, 12.7, 26.22, 1.750971e-01, --, -8.731113e-01
Experiment, --, 12.7, 26.22, 1.979324e-01, --, -3.168706e-01
Experiment, --, 12.7, 26.22, 2.153654e-01, --, 1.540729e-02
Experiment, --, 12.7, 26.22, 2.380513e-01, --, 4.090940e-01
Experiment, --, 12.7, 26.22, 2.581925e-01, --, 3.756953e-01
Experiment, --, 12.7, 26.22, 2.764529e-01, --, 1.163664e+00
Experiment, --, 12.7, 26.22, 2.923015e-01, --, 1.346714e+00
Experiment, --, 12.7, 26.22, 3.197007e-01, --, 9.793277e-01
Experiment, --, 12.7, 26.22, 3.342432e-01, --, 1.666083e+00
Experiment, --, 12.7, 26.22, 3.613094e-01, --, 1.357574e+00
Experiment, --, 12.7, 26.22, 3.779372e-01, --, 1.148749e+00
Experiment, --, 12.7, 26.22, 3.959337e-01, --, 1.911261e+00
Experiment, --, 12.7, 26.22, 4.178563e-01, --, 1.598358e+00
Experiment, --, 12.7, 26.22, 4.296442e-01, --, 1.692288e+00
Experiment, --, 12.7, 26.22, 4.493315e-01, --, 2.392062e+00
Experiment, --, 12.7, 26.22, 4.705817e-01, --, 1.834866e+00
Experiment, --, 12.7, 26.22, 4.945964e-01, --, 1.715919e+00
Experiment, --, 12.7, 26.22, 5.131920e-01, --, 1.801219e+00
